33.62,14.12,20.94,4.72,13.84,6.60,11.18,24.31,77.75,39.79,46.89,4.72,8.85,6.82,26.41,25.08,12.80,8.17,1
43.33,18.83,30.05,3.93,12.38,6.60,9.78,24.75,79.97,42.47,48.93,5.08,9.65,7.67,27.29,26.17,14.62,9.08,1
61.25,25.41,38.24,8.65,26.23,11.88,20.03,42.98,138.84,65.80,75.44,7.62,12.87,9.38,48.41,46.89,23.16,10.90,1
32.12,12.24,14.57,5.50,9.47,5.28,12.58,33.43,107.74,54.71,43.84,5.44,10.45,7.67,28.17,27.26,14.62,9.99,1
82.92,35.77,57.36,10.22,34.97,16.51,25.15,52.53,169.94,81.11,99.91,9.79,15.28,11.93,63.38,63.25,29.86,12.71,1
18.68,10.35,19.12,3.15,9.47,7.26,11.18,23.88,78.86,34.05,55.05,5.80,9.65,7.67,27.29,34.90,13.41,8.17,1
75.45,32.00,45.53,10.22,32.05,13.21,23.29,49.06,156.61,75.37,82.58,8.71,13.67,10.23,53.69,52.34,25.59,10.90,1
67.98,27.30,38.24,13.37,29.87,17.83,28.88,63.39,207.70,72.69,83.60,11.24,17.69,12.79,52.81,70.88,24.98,12.71,1
91.88,36.71,50.99,11.01,33.51,15.19,21.89,51.66,169.94,84.17,91.75,9.07,15.28,11.08,58.09,57.80,29.25,11.81,1
83.66,33.89,48.26,11.79,33.51,16.51,23.75,53.84,176.60,81.87,91.75,9.79,16.08,11.93,58.97,64.34,28.64,12.71,1
95.62,38.59,57.36,11.01,37.88,11.88,21.43,51.66,168.83,89.52,101.95,8.71,15.28,11.08,66.02,53.43,32.30,12.71,1
29.13,11.30,12.75,4.72,8.01,4.62,10.71,29.09,94.41,50.88,39.76,5.08,10.45,7.67,25.53,25.08,13.41,9.99,1
29.13,15.06,28.23,3.93,13.11,10.56,13.04,29.52,98.85,42.85,68.30,6.89,11.26,9.38,35.21,46.89,17.06,9.99,1
38.84,16.94,26.41,3.93,10.20,5.28,8.85,22.58,74.42,39.41,45.88,4.72,9.65,7.67,24.65,25.08,14.02,9.08,1
19.42,9.41,13.66,3.93,9.47,5.28,12.58,23.88,78.86,37.11,42.82,4.72,8.04,6.82,26.41,26.17,11.58,8.17,1
